Entity,Day,Total confirmed deaths due to COVID-19 per million people
Tajikistan,2025-07-13,12.276343
Tanzania,2025-07-13,13.073355
Thailand,2025-07-13,487.61227
Togo,2025-07-13,31.904268
Tonga,2025-07-13,123.79537
Trinidad and Tobago,2025-07-13,2934.751
Tunisia,2025-07-13,2427.7837
Turkey,2025-07-13,1164.9534
Turkmenistan,2025-07-13,0
Tuvalu,2025-07-13,100.32103
Uganda,2025-07-13,76.765915
Ukraine,2025-07-13,2677.9155
United Arab Emirates,2025-07-13,229.349
United Kingdom,2025-07-13,3404.4368
United States,2025-07-13,3588.3047
Uruguay,2025-07-13,2269.3337
Uzbekistan,2025-07-13,29.079327
Vanuatu,2025-07-13,44.726433
Venezuela,2025-07-13,207.56418
Vietnam,2025-07-13,433.4444
Yemen,2025-07-13,56.484562
Zambia,2025-07-13,202.35312
Zimbabwe,2025-07-13,357.20932
